2016 US Presidential Election,Trump,Clinton
BARNSTABLE,53842,71632,
BERKSHIRE,16799,43540,
BRISTOL,104775,127619,
DUKES,2474,8338,
ESSEX,135405,220027,
FRANKLIN,10327,24369,
HAMPDEN,78230,110313,
HAMPSHIRE,22089,54572,
MIDDLESEX,216163,508919,
NORFOLK,119171,219129,
NTUCKET,1892,4144,
PLYMOUTH,114722,133828,
SUFFOLK,50042,241212,
WORCESTER,157138,197126,
